,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
66,608,0,1,MIL,0,2016-04-04,4,123,0.333,4,34,11,31,12,1,5.4,0,1,1,1,0,2016-04-04,0.25
67,159,0,1,MIL,0,2016-04-04,5,123,0.0,4,34,8,31,12,0,5.4,0,1,1,0,1,2016-04-04,0.0
68,300,0,1,MIL,0,2016-04-04,6,123,0.25,4,38,13,31,12,1,5.4,0,1,1,1,0,2016-04-04,0.25
69,195,1,1,MIL,0,2016-04-04,7,123,0.667,4,30,7,31,12,2,5.4,0,1,0,1,0,2016-04-04,0.5
70,305,0,1,MIL,0,2016-04-04,8,123,0.0,2,31,8,31,12,0,5.4,0,1,1,0,1,2016-04-04,0.0
71,752,0,1,MIL,0,2016-04-04,9,123,0.0,2,30,5,31,12,0,5.4,0,1,1,0,1,2016-04-04,0.0
72,52,0,0,BAL,1,2016-04-04,1,51,0.0,4,33,9,32,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
73,355,1,0,BAL,1,2016-04-04,2,51,0.5,4,37,15,32,10,2,0.0,0,0,1,1,0,2016-04-04,0.5
74,309,0,0,BAL,1,2016-04-04,3,51,0.0,4,27,6,32,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
75,182,0,0,BAL,1,2016-04-04,4,51,0.25,4,34,9,32,10,1,0.0,0,0,0,1,0,2016-04-04,0.25
76,325,1,0,BAL,1,2016-04-04,5,51,0.25,4,29,6,32,10,1,0.0,0,0,1,1,0,2016-04-04,0.25
78,207,3,0,BAL,1,2016-04-04,7,51,0.5,4,31,10,32,10,2,0.0,0,0,1,1,0,2016-04-04,0.5
79,37,0,0,BAL,1,2016-04-04,8,51,0.0,4,37,14,32,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
80,585,0,0,BAL,1,2016-04-04,9,51,0.0,3,27,6,32,10,0,0.0,0,0,0,0,1,2016-04-04,0.0
81,377,0,0,BAL,0,2016-04-04,1,214,0.2,5,28,9,38,15,1,0.0,0,0,0,1,0,2016-04-04,0.2
82,625,0,0,BAL,0,2016-04-04,2,214,0.2,5,35,14,38,15,1,0.0,0,0,0,1,0,2016-04-04,0.2
83,833,1,0,BAL,0,2016-04-04,3,214,0.0,5,34,13,38,15,0,0.0,0,0,1,0,1,2016-04-04,0.0
84,410,0,0,BAL,0,2016-04-04,4,214,0.8,5,34,10,38,15,4,0.0,0,0,0,1,0,2016-04-04,0.8
85,773,3,0,BAL,0,2016-04-04,5,214,0.2,5,34,12,38,15,1,0.0,0,0,1,1,0,2016-04-04,0.2
86,151,1,0,BAL,0,2016-04-04,6,214,0.0,4,33,9,38,15,0,0.0,0,0,1,0,1,2016-04-04,0.0
87,13,0,0,BAL,0,2016-04-04,7,214,0.0,4,38,13,38,15,0,0.0,0,0,0,0,1,2016-04-04,0.0
88,687,0,0,BAL,0,2016-04-04,8,214,0.333,4,29,8,38,15,1,0.0,0,0,0,1,0,2016-04-04,0.25
89,101,0,0,BAL,0,2016-04-04,9,214,0.5,4,29,5,38,15,2,0.0,0,0,0,1,0,2016-04-04,0.5
91,60,3,1,TEX,1,2016-04-04,2,66,0.0,4,27,6,37,15,0,2.57,1,1,1,0,1,2016-04-04,0.0
92,185,1,1,TEX,1,2016-04-04,3,66,0.25,4,38,16,37,15,1,2.57,1,1,0,1,0,2016-04-04,0.25
93,431,0,1,TEX,1,2016-04-04,4,66,0.0,4,40,16,37,15,0,2.57,1,1,1,0,1,2016-04-04,0.0
94,92,1,1,TEX,1,2016-04-04,5,66,0.25,4,33,10,37,15,1,2.57,1,1,0,1,0,2016-04-04,0.25
95,796,0,1,TEX,1,2016-04-04,6,66,0.0,4,37,12,37,15,0,2.57,1,1,1,0,1,2016-04-04,0.0
96,45,1,1,TEX,1,2016-04-04,7,66,0.0,4,37,12,37,15,0,2.57,1,1,0,0,1,2016-04-04,0.0
97,748,0,1,TEX,1,2016-04-04,8,66,1.0,3,37,14,37,15,2,2.57,1,1,1,1,0,2016-04-04,0.6666666666666666
98,256,1,1,TEX,1,2016-04-04,9,66,0.0,2,30,3,37,15,0,2.57,1,1,0,0,1,2016-04-04,0.0
